"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Make: All Makes - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C538B440"
"ColumnCount:",2
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #"
"01/1975",7606
"02/1975",7018
"03/1975",8156
"04/1975",8144
"05/1975",9964
"06/1975",10114
"07/1975",10462
"08/1975",10742
"09/1975",9750
"10/1975",9916
"11/1975",9722
"12/1975",9468
"01/1976",7498
"02/1976",7402
"03/1976",7868
"04/1976",8682
"05/1976",10150
"06/1976",9750
"07/1976",11222
"08/1976",10714
"09/1976",9900
"10/1976",10506
"11/1976",8676
"12/1976",9800
"01/1977",7026
"02/1977",7342
"03/1977",8820
"04/1977",9358
"05/1977",10172
"06/1977",10940
"07/1977",12304
"08/1977",11718
"09/1977",10670
"10/1977",11464
"11/1977",10518
"12/1977",10698
"01/1978",7140
"02/1978",6914
"03/1978",9068
"04/1978",9946
"05/1978",11122
"06/1978",11918
"07/1978",12576
"08/1978",12632
"09/1978",12204
"10/1978",12038
"11/1978",11308
"12/1978",11422
"01/1979",8192
"02/1979",8318
"03/1979",10402
"04/1979",10404
"05/1979",10982
"06/1979",11226
"07/1979",11802
"08/1979",11882
"09/1979",11684
"10/1979",11750
"11/1979",11124
"12/1979",11758
"01/1980",8668
"02/1980",8194
"03/1980",9070
"04/1980",9452
"05/1980",11248
"06/1980",11972
"07/1980",11902
"08/1980",13202
"09/1980",11112
"10/1980",10898
"11/1980",10608
"12/1980",10644
"01/1981",9080
"02/1981",8682
"03/1981",9312
"04/1981",9872
"05/1981",10690
"06/1981",11108
"07/1981",11952
"08/1981",12442
"09/1981",10852
"10/1981",10900
"11/1981",10162
"12/1981",10346
"01/1982",7652
"02/1982",7282
"03/1982",8612
"04/1982",9158
"05/1982",9886
"06/1982",9872
"07/1982",10698
"08/1982",10696
"09/1982",10006
"10/1982",10364
"11/1982",9114
"12/1982",9570
"01/1983",7440
"02/1983",7056
"03/1983",7848
"04/1983",8428
"05/1983",9382
"06/1983",9546
"07/1983",10548
"08/1983",10620
"09/1983",10282
"10/1983",10244
"11/1983",9386
"12/1983",9432
"01/1984",7586
"02/1984",7416
"03/1984",8610
"04/1984",8470
"05/1984",9878
"06/1984",10776
"07/1984",10972
"08/1984",11124
"09/1984",10718
"10/1984",10576
"11/1984",9834
"12/1984",9984
"01/1985",8092
"02/1985",7320
"03/1985",8614
"04/1985",9220
"05/1985",10412
"06/1985",10958
"07/1985",10780
"08/1985",11314
"09/1985",10068
"10/1985",10240
"11/1985",10158
"12/1985",9366
"01/1986",8254
"02/1986",7296
"03/1986",8990
"04/1986",9142
"05/1986",10806
"06/1986",11232
"07/1986",11542
"08/1986",12368
"09/1986",10596
"10/1986",10922
"11/1986",10300
"12/1986",10136
"01/1987",8314
"02/1987",7734
"03/1987",8892
"04/1987",9278
"05/1987",10670
"06/1987",11024
"07/1987",11324
"08/1987",12316
"09/1987",10970
"10/1987",11780
"11/1987",10692
"12/1987",10678
"01/1988",8550
"02/1988",8082
"03/1988",9260
"04/1988",9808
"05/1988",10644
"06/1988",11136
"07/1988",11648
"08/1988",11734
"09/1988",11228
"10/1988",11568
"11/1988",10454
"12/1988",11294
"01/1989",9020
"02/1989",7982
"03/1989",9470
"04/1989",9576
"05/1989",10170
"06/1989",10364
"07/1989",11218
"08/1989",11042
"09/1989",10886
"10/1989",11154
"11/1989",9886
"12/1989",10972
"01/1990",8770
"02/1990",7910
"03/1990",9364
"04/1990",9296
"05/1990",10112
"06/1990",10726
"07/1990",11324
"08/1990",11130
"09/1990",10544
"10/1990",10176
"11/1990",9656
"12/1990",9576
"01/1991",7338
"02/1991",7294
"03/1991",8494
"04/1991",8142
"05/1991",9586
"06/1991",10136
"07/1991",10310
"08/1991",10732
"09/1991",9620
"10/1991",9762
"11/1991",9472
"12/1991",8704
"01/1992",7598
"02/1992",7178
"03/1992",7432
"04/1992",7762
"05/1992",9096
"06/1992",9510
"07/1992",9340
"08/1992",9832
"09/1992",8694
"10/1992",10104
"11/1992",8796
"12/1992",9112
"01/1993",7498
"02/1993",6994
"03/1993",7946
"04/1993",8102
"05/1993",9308
"06/1993",9070
"07/1993",10202
"08/1993",10268
"09/1993",9548
"10/1993",10300
"11/1993",9292
"12/1993",9026
"01/1994",7634
"02/1994",7102
"03/1994",8116
"04/1994",8720
"05/1994",9298
"06/1994",9214
"07/1994",10052
"08/1994",10228
"09/1994",9624
"10/1994",10372
"11/1994",9506
"12/1994",9956
"01/1995",8298
"02/1995",7494
"03/1995",8682
"04/1995",8582
"05/1995",9058
"06/1995",9842
"07/1995",10122
"08/1995",10852
"09/1995",10194
"10/1995",10590
"11/1995",9630
"12/1995",9704
"01/1996",8414
"02/1996",8074
"03/1996",8764
"04/1996",8952
"05/1996",9318
"06/1996",10228
"07/1996",9590
"08/1996",10570
"09/1996",9874
"10/1996",10606
"11/1996",10102
"12/1996",10202
"01/1997",8752
"02/1997",7720
"03/1997",8576
"04/1997",8734
"05/1997",10174
"06/1997",9908
"07/1997",10252
"08/1997",10578
"09/1997",9432
"10/1997",10318
"11/1997",9600
"12/1997",10076
"01/1998",8510
"02/1998",7700
"03/1998",8508
"04/1998",8524
"05/1998",9540
"06/1998",9544
"07/1998",10430
