"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Light Trucks | Motorcycles | All Makes | Chevrolet | Ford | Hyundai | Mercedes-Benz | Subaru | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DE7280B60"
"ColumnCount:",23
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Hyundai, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Subaru, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Hyundai, All Models, All Vehicle Years, #","Automobiles, Mercedes-Benz, All Models, All Vehicle Years, #","Automobiles, Subaru, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Light Trucks, All Makes, All Models, All Vehicle Years, #","Light Trucks, Chevrolet, All Models, All Vehicle Years, #","Light Trucks, Ford, All Models, All Vehicle Years, #","Light Trucks, Hyundai, All Models, All Vehicle Years, #","Light Trucks, Mercedes-Benz, All Models, All Vehicle Years, #","Light Trucks, Subaru, All Models, All Vehicle Years, #","Light Trucks, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #"
"01/1975",7606,1758,1624,,,6,92,7446,1734,1598,,,4,88,,,,,,,,
"02/1975",7018,1632,1396,,,4,84,6920,1622,1392,,,4,84,,,,,,,,
"03/1975",8156,1876,1722,,,8,92,8002,1856,1694,,,8,90,,,,,,,,
"04/1975",8144,1832,1604,,,10,110,7952,1810,1578,,,10,110,,,,,,,,
"05/1975",9964,2196,1936,,,4,146,9682,2162,1886,,,4,140,,,,,,,,
"06/1975",10114,2278,1860,,,8,140,9830,2246,1824,,,8,136,,,,,,,,
"07/1975",10462,2358,2014,,,26,114,10188,2342,1980,,,26,112,,,,,,,,
"08/1975",10742,2420,2044,,,18,146,10450,2384,2002,,,18,146,,,,,,,,
"09/1975",9750,2226,1964,,,10,106,9490,2174,1912,,,10,104,,,,,,,,
"10/1975",9916,2248,1998,,,18,128,9614,2190,1954,,,18,128,,,,,,,,
"11/1975",9722,2378,2034,,,10,122,9470,2336,1976,,,10,120,,,,,,,,
"12/1975",9468,2316,1954,,,22,128,9264,2280,1914,,,22,128,,,,,,,,
"01/1976",7498,1720,1528,,,10,86,7342,1704,1488,,,10,86,,,,,,,,
"02/1976",7402,1788,1618,,,6,118,7248,1762,1594,,,6,116,,,,,,,,
"03/1976",7868,1776,1578,,,4,94,7698,1758,1554,,,4,94,,,,,,,,
"04/1976",8682,2078,1692,,,10,130,8464,2026,1670,,,10,128,,,,,,,,
"05/1976",10150,2260,2002,,,20,136,9930,2228,1962,,,20,134,,,,,,,,
"06/1976",9750,2100,1910,,,10,160,9494,2082,1856,,,10,160,,,,,,,,
"07/1976",11222,2444,2188,,,10,154,10956,2414,2158,,,10,150,,,,,,,,
"08/1976",10714,2312,2148,,,2,154,10506,2296,2114,,,2,152,,,,,,,,
"09/1976",9900,2228,1974,,,10,132,9736,2210,1944,,,10,132,,,,,,,,
"10/1976",10506,2378,2034,,,16,150,10282,2352,1986,,,16,148,,,,,,,,
"11/1976",8676,2114,1860,,,8,136,8512,2092,1840,,,8,130,,,,,,,,
"12/1976",9800,2346,1960,,,18,162,9668,2324,1936,,,18,160,,,,,,,,
"01/1977",7026,1542,1448,,,8,148,6916,1526,1438,,,8,146,,,,,,,,
"02/1977",7342,1638,1552,,,8,122,7202,1618,1538,,,6,118,,,,,,,,
"03/1977",8820,1928,1916,,,24,132,8658,1894,1890,,,24,132,,,,,,,,
"04/1977",9358,2134,1856,,,8,136,9216,2114,1834,,,8,136,,,,,,,,
"05/1977",10172,2326,1978,,,16,182,10022,2308,1946,,,16,182,,,,,,,,
"06/1977",10940,2404,2034,,,16,184,10702,2378,1992,,,16,184,,,,,,,,
"07/1977",12304,2670,2320,,,18,250,12008,2620,2280,,,18,244,,,,,,,,
"08/1977",11718,2622,2258,,,28,208,11528,2598,2224,,,28,202,,,,,,,,
"09/1977",10670,2310,2018,,,8,176,10430,2278,1972,,,8,176,,,,,,,,
"10/1977",11464,2594,2320,,,30,186,11248,2570,2296,,,28,180,,,,,,,,
"11/1977",10518,2364,2246,,,16,194,10346,2344,2200,,,16,192,,,,,,,,
"12/1977",10698,2502,2182,,,28,200,10556,2480,2156,,,28,200,,,,,,,,
"01/1978",7140,1638,1446,,12,16,112,7010,1620,1438,,10,16,110,,,,,,,,
"02/1978",6914,1480,1460,,14,2,128,6748,1466,1450,,14,2,126,,,,,,,,
"03/1978",9068,2034,1790,,12,16,196,8936,2030,1774,,12,16,192,,,,,,,,
"04/1978",9946,2280,2006,,12,16,156,9788,2272,1982,,12,16,156,,,,,,,,
"05/1978",11122,2402,1952,,26,26,194,10908,2396,1928,,26,26,190,,,,,,,,
"06/1978",11918,2490,2246,,16,30,220,11664,2474,2216,,16,30,220,,,,,,,,
